,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Chris Brown,Under The Influence,5IgjP7X4th6nMNDh4akUHb,95,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613,4
1,Baby Keem,HONEST,58k32my5lKofeZRtIvBDg9,83,0.676,0.536,2,-8.79,1,0.0432,0.403,3.37e-05,0.105,0.373,79.037,172672,4
2,Zach Bryan,Heading South,2Dct3GykKZ58hpWRFfe2Qd,80,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,171693,4
3,Liana Flores,rises the moon,51Grh1RyUDcMBbpuyUIUHI,84,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,161929,3
4,Taylor Swift,Christmas Tree Farm,2mvabkN1i2gLnGAPUVdwek,84,0.598,0.68,7,-4.505,1,0.0331,0.06,0.0,0.324,0.437,134.002,228027,4
5,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,89,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
6,Yot Club,YKWIM?,2vWBUC9djv6BtiGlmKiQaH,84,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,3
7,Stevie Wonder,What Christmas Means To Me,1V0qqWBbIWt8hlAjxTZedR,84,0.521,0.699,0,-6.961,1,0.0338,0.0981,0.0,0.1,0.802,83.529,148147,4
8,Tyler Childers,All Your'n,0fCwTrRNfoNk962ati8n2K,79,0.585,0.55,11,-7.342,1,0.0255,0.408,3.97e-05,0.115,0.839,78.176,218280,4
9,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,86,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
10,Baby Keem,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,81,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,129882,4
11,Jonas Brothers,Like It's Christmas,1OjmlSFuzYflWjSMTCyTJv,84,0.725,0.571,1,-6.007,1,0.102,0.0183,0.0,0.0519,0.61,146.035,200880,4
12,Eyedress,Jealous,1aXV8GrmQLvgoFtBPERP7E,84,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,122339,4
13,Trippie Redd,The Grinch,1W24W6jQegnNh0x5DfBBPT,81,0.676,0.503,8,-6.115,1,0.0971,0.137,6.36e-05,0.0981,0.196,162.85,91288,4
14,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,82,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
